Level,Size,Line Height,Weight,Letter Spacing,Usage
Display,96px,1.1,800,-0.02em,Hero headlines
H1,72px,1.15,700,-0.02em,Page titles
H2,60px,1.2,700,-0.015em,Section headers
H3,48px,1.25,600,-0.01em,Subsection headers
H4,36px,1.3,600,-0.005em,Card titles
H5,30px,1.35,500,0,Widget titles
H6,24px,1.4,500,0,Small headers
Body Large,20px,1.6,400,0,Featured body text
Body,18px,1.6,400,0,Standard body text
Body Small,16px,1.5,400,0,Dense body text
Caption,14px,1.4,400,0.01em,Labels/captions
Overline,12px,1.4,500,0.08em,Category labels
Button Large,18px,1,600,0.02em,Primary buttons
Button,16px,1,500,0.02em,Standard buttons
Button Small,14px,1,500,0.02em,Small buttons
Input,16px,1.5,400,0,Form inputs
Code,14px,1.6,400,0,Code blocks
Blockquote,20px,1.6,400,0,Pull quotes

