Name,Hex,RGB,HSL,Category,Usage
primary,#3B82F6,"rgb(59,130,246)","hsl(217,91%,60%)",Brand,Primary actions
primary-dark,#2563EB,"rgb(37,99,235)","hsl(221,83%,53%)",Brand,Hover states
primary-light,#60A5FA,"rgb(96,165,250)","hsl(213,94%,68%)",Brand,Light backgrounds
secondary,#64748B,"rgb(100,116,139)","hsl(215,16%,47%)",Brand,Secondary elements
accent,#8B5CF6,"rgb(139,92,246)","hsl(258,90%,66%)",Brand,Highlights
success,#10B981,"rgb(16,185,129)","hsl(160,84%,39%)",Semantic,Success states
success-light,#D1FAE5,"rgb(209,250,229)","hsl(152,81%,90%)",Semantic,Success backgrounds
warning,#F59E0B,"rgb(245,158,11)","hsl(38,92%,50%)",Semantic,Warning states
warning-light,#FEF3C7,"rgb(254,243,199)","hsl(48,96%,89%)",Semantic,Warning backgrounds
danger,#EF4444,"rgb(239,68,68)","hsl(0,84%,60%)",Semantic,Error states
danger-light,#FEE2E2,"rgb(254,226,226)","hsl(0,86%,94%)",Semantic,Error backgrounds
info,#3B82F6,"rgb(59,130,246)","hsl(217,91%,60%)",Semantic,Info states
gray-50,#F9FAFB,"rgb(249,250,251)","hsl(210,20%,98%)",Neutral,Lightest gray
gray-100,#F3F4F6,"rgb(243,244,246)","hsl(220,14%,96%)",Neutral,Light gray
gray-200,#E5E7EB,"rgb(229,231,235)","hsl(220,13%,91%)",Neutral,Borders
gray-300,#D1D5DB,"rgb(209,213,219)","hsl(216,12%,84%)",Neutral,Disabled
gray-400,#9CA3AF,"rgb(156,163,175)","hsl(218,11%,65%)",Neutral,Placeholder
gray-500,#6B7280,"rgb(107,114,128)","hsl(220,9%,46%)",Neutral,Secondary text
gray-600,#4B5563,"rgb(75,85,99)","hsl(215,14%,34%)",Neutral,Body text
gray-700,#374151,"rgb(55,65,81)","hsl(217,19%,27%)",Neutral,Dark text
gray-800,#1F2937,"rgb(31,41,55)","hsl(215,28%,17%)",Neutral,Darker
gray-900,#111827,"rgb(17,24,39)","hsl(221,39%,11%)",Neutral,Darkest
white,#FFFFFF,"rgb(255,255,255)","hsl(0,0%,100%)",Base,Background
black,#000000,"rgb(0,0,0)","hsl(0,0%,0%)",Base,Text
background,#F8FAFC,"rgb(248,250,252)","hsl(210,40%,98%)",Layout,Page background
surface,#FFFFFF,"rgb(255,255,255)","hsl(0,0%,100%)",Layout,Card background
