Name,Category,Usage,Tags
Search,Action,Search functionality,"find, lookup, query"
Plus,Action,Add new item,"add, create, new"
Minus,Action,Remove item,"remove, delete, subtract"
X,Action,Close or dismiss,"close, dismiss, clear"
Check,Action,Confirm selection,"done, confirm, success"
Edit,Action,Edit content,"pencil, modify, change"
Trash,Action,Delete item,"delete, remove, garbage"
Download,Action,Download file,"save, export, arrow-down"
Upload,Action,Upload file,"import, arrow-up, cloud"
Refresh,Action,Reload data,"reload, sync, update"
Settings,Action,Open settings,"gear, preferences, config"
Filter,Action,Filter results,"funnel, sort, refine"
Sort,Action,Sort items,"order, arrange, ascending"
Menu,Action,Open navigation,"hamburger, nav, navigation"
MoreHorizontal,Action,More options,"ellipsis, overflow, dots"
MoreVertical,Action,More options,"ellipsis, overflow, dots-vertical"
ArrowLeft,Navigation,Go back,"back, previous, navigate"
ArrowRight,Navigation,Go forward,"next, forward, navigate"
ArrowUp,Navigation,Scroll up,"up, top, ascending"
ArrowDown,Navigation,Scroll down,"down, bottom, descending"
ChevronLeft,Navigation,Collapse or previous,"collapse, previous, less"
ChevronRight,Navigation,Expand or next,"expand, next, more"
ChevronUp,Navigation,Collapse,"collapse, less, up"
ChevronDown,Navigation,Expand,"expand, more, down"
Home,Navigation,Home page,"house, main, dashboard"
User,Person,User profile,"person, account, profile"
Users,Person,Group of users,"team, group, people"
UserPlus,Person,Add user,"invite, add-person, new-user"
UserMinus,Person,Remove user,"remove-person, delete-user"
Bell,Notification,Notifications,"alert, ring, notify"
BellOff,Notification,Disable notifications,"silent, mute, no-notify"
Mail,Communication,Email message,"email, envelope, message"
MessageSquare,Communication,Chat message,"chat, comment, talk"
Phone,Communication,Phone call,"call, telephone, ring"
Calendar,Time,Date picker,"date, schedule, event"
Clock,Time,Time display,"time, watch, timer"
FileText,File,Document,"document, page, paper"
File,File,Generic file,"document, blank"
Folder,File,Directory,"directory, archive, group"
Image,Media,Picture,"photo, picture, gallery"
Video,Media,Video file,"movie, film, play"
Music,Media,Audio file,"audio, song, sound"
Play,Media,Play media,"start, video, audio"
Pause,Media,Pause media,"stop, wait"
SkipForward,Media,Next track,"next, forward, advance"
SkipBack,Media,Previous track,"previous, back, rewind"
Heart,Feedback,Like or favorite,"love, favorite, save"
Star,Feedback,Rate or favorite,"rating, bookmark, rate"
ThumbsUp,Feedback,Approve,"like, agree, positive"
ThumbsDown,Feedback,Disapprove,"dislike, disagree, negative"
Eye,Visibility,View or show,"view, visible, watch"
EyeOff,Visibility,Hide,"hidden, invisible, private"
Lock,Security,Secure,"secure, private, protected"
Unlock,Security,Unsecure,"open, accessible, public"
Shield,Security,Protection,"protect, guard, secure"
AlertTriangle,Status,Warning,"warning, caution, alert"
AlertCircle,Status,Error or info,"error, info, alert"
HelpCircle,Status,Help,"question, support, info"
Info,Status,Information,"details, about, info"
CheckCircle,Status,Success,"completed, verified, done"
XCircle,Status,Failure,"failed, error, rejected"
Loader,Status,Loading,"spinner, loading, wait"
Activity,Analytics,Statistics,"stats, pulse, metrics"
BarChart,Analytics,Bar chart,"graph, statistics, data"
PieChart,Analytics,Pie chart,"chart, distribution, data"
TrendingUp,Analytics,Growth,"increase, growth, up"
TrendingDown,Analytics,Decline,"decrease, loss, down"
DollarSign,Finance,Money,"money, currency, price"
ShoppingCart,Ecommerce,Cart,"buy, purchase, checkout"
CreditCard,Finance,Payment,"pay, card, purchase"
Globe,Location,World,"world, internet, web"
MapPin,Location,Location pin,"location, place, address"
Link,Content,Hyperlink,"url, hyperlink, anchor"
ExternalLink,Content,Open externally,"open, external, outbound"
Copy,Content,Duplicate,"duplicate, clone, clipboard"
Share,Content,Share content,"social, send, distribute"
Bookmark,Content,Save for later,"save, bookmark, flag"
Tag,Content,Label,"label, category, price"
Code,Development,Source code,"programming, developer, source"
Terminal,Development,Command line,"cli, command, console"
GitBranch,Development,Version control,"git, branch, version"
Layers,Design,Design layers,"stack, design, graphics"
Layout,Design,Page layout,"template, grid, structure"
Maximize,Layout,Expand,"fullscreen, enlarge, big"
Minimize,Layout,Collapse,"shrink, small, reduce"
Maximize2,Layout,Expand,"fullscreen, enlarge"
Minimize2,Layout,Collapse,"shrink, reduce"

